Ticker,Name,Price,Volume,MarketCap,ticker,transactions,market_cap,dollar_volume,date,rank_dollar_volume,rank_trading_volume,rank_transactions,todays_change_perc,rank_change_perc,is_dat
BMNR,"BitMine Immersion Technologies,",40.615,29251949,11564809216,BMNR,304265.0,11564809216,1188067908.635,2025-11-04,33,35,25,-6.871208586094261,11144.0,True
CLSK,"CleanSpark, Inc.",16.87,19202183,5026177024,CLSK,177938.0,5026177024,323940827.21000004,2025-11-04,104,58,64,-4.649827784156154,10426.0,True
HIMS,"Hims & Hers Health, Inc.",44.46,45023218,10048830464,HIMS,354823.0,10048830464,2001732272.28,2025-11-04,21,16,19,-1.46429375985582,7816.0,False
KO,Coca-Cola Company (The),68.2199,7339424,293455331328,KO,290712.0,293455331328,500694771.3376,2025-11-04,75,143,26,0.48035898190377485,1209.0,False
MARA,"MARA Holdings, Inc.",16.94,35823467,6275556864,MARA,178284.0,6275556864,606849530.98,2025-11-04,63,25,63,-5.895564289724859,10875.0,True
MSTR,Strategy Inc,251.76,8542030,72282480640,MSTR,250830.0,72282480640,2150541472.7999997,2025-11-04,20,122,30,-6.065553330562595,10938.0,True
SOFI,"SoFi Technologies, Inc.",30.0095,47629391,36148531200,SOFI,317298.0,36148531200,1429334209.2145,2025-11-04,29,14,24,-3.2321253672869683,9680.0,False
TSM,Taiwan Semiconductor Manufactur,298.97,7679738,1550614790144,TSM,283600.0,1550614790144,2296011269.86,2025-11-04,19,130,27,-2.466738830938796,9052.0,False
UBER,"Uber Technologies, Inc.",93.8909,35025542,195801825280,UBER,280921.0,195801825280,3288579661.3678,2025-11-04,11,26,28,-5.791215403128766,10842.0,False
VALE,VALE S.A.,11.895,35905420,50777141248,VALE,55692.0,50777141248,427094970.9,2025-11-04,84,24,164,-2.58196721311475,9154.0,False
